Team,Playoffs
Dallas Mavericks,1.0
Milwaukee Bucks*,1.0
Houston Rockets*,1.0
Portland Trail Blazers,1.0
Los Angeles Clippers*,1.0
New Orleans Pelicans,1.0
Washington Wizards,0.0
Phoenix Suns,0.0
Memphis Grizzlies,1.0
Miami Heat*,1.0
Boston Celtics*,1.0
Los Angeles Lakers*,1.0
San Antonio Spurs,1.0
Atlanta Hawks,0.0
Indiana Pacers*,1.0
Toronto Raptors*,1.0
Brooklyn Nets,0.0
Utah Jazz*,1.0
Denver Nuggets*,1.0
Philadelphia 76ers*,1.0
Sacramento Kings,0.0
Oklahoma City Thunder*,1.0
Orlando Magic,1.0
Minnesota Timberwolves,0.0
Detroit Pistons,0.0
New York Knicks,0.0
Cleveland Cavaliers,0.0
Chicago Bulls,0.0
Golden State Warriors,0.0
Charlotte Hornets,0.0
League Average,
