3P%,2P%,DRB,AST,STL,BLK,TOV,PF,Playoffs
22.0,28.0,28.0,18.0,4.0,15.5,3.5,7.0,0
13.0,31.0,31.0,25.0,10.5,29.0,22.0,5.5,1
9.0,29.0,14.5,2.0,28.5,20.0,12.5,24.5,1
29.0,7.0,20.5,1.0,3.0,30.0,5.0,23.0,0
24.0,13.0,29.0,10.0,8.0,15.5,17.0,27.0,1
25.5,17.0,24.0,29.0,15.5,18.0,30.0,18.0,0
25.5,5.5,2.0,20.5,22.0,7.0,9.0,30.0,0
15.0,21.0,8.5,31.0,19.5,2.0,20.0,29.0,0
7.5,24.5,27.0,30.0,21.0,26.0,24.0,19.0,0
31.0,24.5,25.0,26.5,12.5,9.0,18.5,13.0,1
21.0,10.5,19.0,6.0,26.5,26.0,7.0,21.0,1
11.5,30.0,20.5,22.5,28.5,31.0,22.0,15.0,1
27.5,9.0,22.0,19.0,9.0,24.0,1.0,5.5,0
1.0,20.0,8.5,13.0,19.5,20.0,29.0,31.0,0
19.0,22.5,11.0,26.5,10.5,22.0,3.5,8.0,1
27.5,10.5,23.0,20.5,31.0,15.5,15.5,22.0,1
5.0,13.0,30.0,16.0,5.0,9.0,26.0,16.5,0
30.0,27.0,26.0,4.5,2.0,3.0,22.0,11.0,1
14.0,22.5,8.5,28.0,23.5,11.5,8.0,12.0,1
19.0,19.0,18.0,24.0,23.5,23.0,10.5,16.5,1
19.0,17.0,5.5,9.0,18.0,5.0,12.5,27.0,0
16.0,26.0,16.0,3.0,15.5,20.0,6.0,4.0,1
6.0,4.0,12.0,14.5,26.5,26.0,2.0,1.0,0
3.0,15.0,13.0,11.5,30.0,28.0,26.0,20.0,0
23.0,8.0,4.0,14.5,12.5,9.0,26.0,9.0,0
4.0,3.0,14.5,4.5,15.5,13.0,10.5,27.0,0
10.0,13.0,8.5,7.0,7.0,1.0,31.0,2.0,0
7.5,5.5,1.0,8.0,1.0,5.0,28.0,24.5,0
2.0,2.0,5.5,22.5,25.0,11.5,18.5,10.0,0
11.5,1.0,3.0,11.5,6.0,5.0,15.5,3.0,0
